"","CatchId","Stage","Discharge (m3s-1)"
"2121",17596143,13.716,1012.56884904
"2122",17596143,14.0208,1054.63586454
"2123",17596143,14.3256,1097.38503498
"2124",17596143,14.6304,1140.81096015
"2125",17596143,14.9352,1184.90840689
"2126",17596143,15.24,1229.67230024
"2127",17596143,15.5448,1275.09771528
"2128",17596143,15.8496,1321.17986952
"2129",17596143,16.1544,1367.91411585
"2130",17596143,16.4592,1415.29593598
"2131",17596143,16.764,1463.32093429
"2132",17596143,17.0688,1511.98483215
"2133",17596143,17.3736,1561.28346256
"2134",17596143,17.6784,1611.21276515
"2135",17596143,17.9832,1661.7687815
"2136",17596143,18.288,1712.94765074
"2137",17596143,18.5928,1764.74560542
"2138",17596143,18.8976,1817.15896763
"2139",17596143,19.2024,1870.18414533
"2140",17596143,19.5072,1923.81762891
"2141",17596143,19.812,1978.05598793
"2142",17596143,20.1168,2032.89586804
"2143",17596143,20.4216,2088.3339881
"2144",17596143,20.7264,2144.36713741
"2145",17596143,21.0312,2200.9921731
"2146",17596143,21.336,2258.20601767
"2147",17596143,21.6408,2316.00565664
"2148",17596143,21.9456,2374.38813635
"2149",17596143,22.2504,2433.35056181
"2150",17596143,22.5552,2492.89009471
"2151",17596143,22.86,2553.00395151
"2152",17596143,23.1648,2613.6894016
"2153",17596143,23.4696,2674.94376558
"2154",17596143,23.7744,2736.76441358
"2155",17596143,24.0792,2799.14876371
"2156",17596143,24.384,2862.09428053
"2157",17596143,24.6888,2925.59847362
"2158",17596143,24.9936,2989.65889616
"2159",17595325,0,0
"2160",17595325,0.3048,4.84205315591
"2161",17595325,0.6096,15.6477327629
"2162",17595325,0.9144,33.9048182062
"2163",17595325,1.2192,62.4687088835
"2164",17595325,1.524,102.23540607
"2165",17595325,1.8288,154.915626377
"2166",17595325,2.1336,220.33920201
"2167",17595325,2.4384,305.60996774
"2168",17595325,2.7432,408.257199405
"2169",17595325,3.048,527.087274041
"2170",17595325,3.3528,667.381135573
"2171",17595325,3.6576,826.169494738
"2172",17595325,3.9624,1004.81124853
"2173",17595325,4.2672,1203.14993905
"2174",17595325,4.572,1428.6680617
"2175",17595325,4.8768,1676.25699384
"2176",17595325,5.1816,1948.95405845
"2177",17595325,5.4864,2251.05487354
"2178",17595325,5.7912,2571.3830175
"2179",17595325,6.096,2923.57397195
"2180",17595325,6.4008,3300.65029365
"2181",17595325,6.7056,3708.48642029
"2182",17595325,7.0104,4148.67380951
"2183",17595325,7.3152,4603.08350875
"2184",17595325,7.62,5096.25021585
"2185",17595325,7.9248,5624.0665859
"2186",17595325,8.2296,6182.42597118
"2187",17595325,8.5344,6774.57988091
"2188",17595325,8.8392,7409.49153531
"2189",17595325,9.144,8081.82750872
"2190",17595325,9.4488,8775.43550241
"2191",17595325,9.7536,9525.97448253
"2192",17595325,10.0584,10305.001892
"2193",17595325,10.3632,11112.7097694
"2194",17595325,10.668,11951.2741482
"2195",17595325,10.9728,12793.0609408
"2196",17595325,11.2776,13717.710116
"2197",17595325,11.5824,14642.5108483
"2198",17595325,11.8872,15599.727726
"2199",17595325,12.192,16617.4041665
"2200",17595325,12.4968,17638.7966552
"2201",17595325,12.8016,18697.7453184
"2202",17595325,13.1064,19803.9457997
"2203",17595325,13.4112,20936.1837333
"2204",17595325,13.716,22132.2276391
"2205",17595325,14.0208,23365.6069228
"2206",17595325,14.3256,24618.1713505
"2207",17595325,14.6304,25930.9044074
"2208",17595325,14.9352,27285.5903719
"2209",17595325,15.24,28652.171196
"2210",17595325,15.5448,30092.5983587
"2211",17595325,15.8496,31581.7811432
"2212",17595325,16.1544,32954.0375656
"2213",17595325,16.4592,34410.0401171
"2214",17595325,16.764,35958.4339377
"2215",17595325,17.0688,37573.2909359
"2216",17595325,17.3736,39256.9343993
"2217",17595325,17.6784,40940.5364849
"2218",17595325,17.9832,42649.3540761
"2219",17595325,18.288,44415.0778293
"2220",17595325,18.5928,46192.9145368
